index,massinit,Xinit,Yinit,Zinit,fehinit,amlt,fov_core,fov0_core,eta
28429,2.69253,0.68625408,0.28784755,0.02589837,0.31779785,2.612094,0.018000,0.009000,0.079
28430,2.11753,0.74655584,0.25166650,0.00177766,-0.88220215,2.262094,0.018000,0.009000,0.604
28431,0.96753,0.72381345,0.26531193,0.01087462,-0.08220215,1.562094,0.003087,0.001543,0.254
28432,0.89566,0.74601717,0.25198970,0.00199313,-0.83220215,1.693344,0.002048,0.001024,0.276
28433,2.04566,0.72063034,0.26722180,0.01214787,-0.03220215,2.393344,0.018000,0.009000,0.626
28434,2.62066,0.73860800,0.25643520,0.00495680,-0.43220215,2.043344,0.018000,0.009000,0.101
28435,1.47066,0.67911014,0.29213392,0.02875595,0.36779785,1.343344,0.010354,0.005177,0.451
28436,1.75816,0.73154774,0.26067136,0.00778091,-0.23220215,2.568344,0.014507,0.007253,0.188
28437,2.90816,0.64310329,0.31373802,0.04315868,0.56779785,1.868344,0.018000,0.009000,0.538
28438,2.33316,0.74313327,0.25372004,0.00314669,-0.63220215,1.518344,0.018000,0.009000,0.013
28439,1.18316,0.70397948,0.27721231,0.01880821,0.16779785,2.218344,0.006201,0.003101,0.363
28440,1.03941,0.74112316,0.25492610,0.00395073,-0.53220215,1.430844,0.004125,0.002062,0.582
28441,2.18941,0.69274900,0.28395060,0.02330040,0.26779785,2.130844,0.018000,0.009000,0.232
28442,2.76441,0.74703659,0.25137805,0.00158537,-0.93220215,2.480844,0.018000,0.009000,0.407
28443,1.61441,0.72667420,0.26359548,0.00973032,-0.13220215,1.780844,0.012430,0.006215,0.057
28444,1.32691,0.74473774,0.25275735,0.00250490,-0.73220215,2.305844,0.008278,0.004139,0.669
28445,2.47691,0.71316304,0.27170218,0.01513479,0.06779785,1.605844,0.018000,0.009000,0.319
28446,1.90191,0.73546576,0.25832054,0.00621369,-0.33220215,1.955844,0.016583,0.008292,0.494
28447,0.75191,0.66268498,0.30198901,0.03532601,0.46779785,2.655844,0.000000,0.000000,0.144
28448,0.76987,0.74243191,0.25414085,0.00342724,-0.59470215,1.923032,0.000232,0.000116,0.237
28449,1.91987,0.70002678,0.27958393,0.02038929,0.20529785,2.623032,0.016843,0.008421,0.587
28450,2.49487,0.74756540,0.25106076,0.00137384,-0.99470215,2.273032,0.018000,0.009000,0.062
28451,1.34487,0.72984287,0.26169428,0.00846285,-0.19470215,1.573032,0.008537,0.004269,0.412
28452,1.63237,0.74557104,0.25225737,0.00217158,-0.79470215,2.448032,0.012690,0.006345,0.325
28453,2.78237,0.71801177,0.26879294,0.01319529,0.00529785,1.748032,0.018000,0.009000,0.675
28454,2.20737,0.73751051,0.25709370,0.00539580,-0.39470215,1.398032,0.018000,0.009000,0.150
28455,1.05737,0.67329759,0.29562145,0.03108097,0.40529785,2.098032,0.004384,0.002192,0.500
28456,1.20112,0.74668120,0.25159128,0.00172752,-0.89470215,1.485532,0.006461,0.003230,0.631
28457,2.35112,0.72455763,0.26486542,0.01057695,-0.09470215,2.185532,0.018000,0.009000,0.281
28458,2.92612,0.74024518,0.25545289,0.00430193,-0.49470215,2.535532,0.018000,0.009000,0.456
28459,1.77612,0.68793680,0.28683792,0.02522528,0.30529785,1.835532,0.014766,0.007383,0.106
28460,1.48862,0.73409635,0.25914219,0.00676146,-0.29470215,2.010532,0.010613,0.005307,0.544
28461,2.63862,0.65573070,0.30616158,0.03810772,0.50529785,1.310532,0.018000,0.009000,0.194
